Sample ID	Shannon (HÕ)	Chao1	Simpson (1-D)	Location		
EG-1-MK	3.412119046	75.25	0.837141502	Greenland		
EG-10-MK	3.633620134	53	0.857390266	Greenland		
EG-11-MK	3.690290758	96.1	0.831496546	Greenland		
EG-13-MK	3.464860332	84.875	0.823521727	Greenland		
EG-14-MK	4.221865664	101.1	0.892956702	Greenland		
EG-15-MK	3.54849328	70.5	0.824578399	Greenland		
EG-16-MK	2.984116071	106	0.736947882	Greenland		
EG-17-MK	4.02086443	86.5	0.888944768	Greenland		
EG-18-MK	2.888066747	64.5	0.774846346	Greenland		
EG-19-MK	3.055939687	90.58333333	0.685160964	Greenland		
EG-2-MK	3.472918953	76.11111111	0.827193389	Greenland		
EG-20-MK	4.302194253	101.75	0.922318579	Greenland		
EG-21-MK	4.651023385	126.1	0.930225538	Greenland		
EG-22-MK	3.896624598	80.33333333	0.895667697	Greenland		
EG-23-MK	3.94876723	87.85714286	0.86766347	Greenland		
EG-24-MK	3.405502246	61	0.837620479	Greenland		
EG-25-MK	3.632757648	90.07142857	0.801905906	Greenland		
EG-26-MK	4.650789639	126.2727273	0.906803897	Greenland		
EG-27-MK	4.874835438	130.75	0.924429011	Greenland		
EG-28-MK	4.374124518	90.66666667	0.918288977	Greenland		
EG-29-MK	3.875172764	77.54545455	0.891502002	Greenland		
EG-3-MK	4.573182235	94	0.927691273	Greenland		
EG-30-MK	3.977794021	113.4761905	0.857081773	Greenland		
EG-31-MK	3.384729874	68.875	0.792516998	Greenland		
EG-32-MK	3.767049829	100	0.787547558	Greenland		
EG-33-MK	4.917298462	98.42857143	0.940677363	Greenland		
EG-34-MK	3.453196185	52.33333333	0.874984747	Greenland		
EG-4-MK	2.134171003	70.11111111	0.487695441	Greenland		
EG-5-MK	3.024833843	54.33333333	0.799382889	Greenland		
EG-6-MK	4.154363179	98.57142857	0.875360006	Greenland		
EG-7-MK	2.892128692	72.5	0.743750416	Greenland		
EG-8-MK	4.79623494	126.5714286	0.940144909	Greenland		
EG-9-MK	3.926031176	80.14285714	0.871337522	Greenland		
SBS-1-MK	4.607287955	131.1428571	0.91908685	USA		
SBS-10-MK	3.875838083	53	0.864757654	USA		
SBS-11-MK	5.285987975	155.5833333	0.943839788	USA		
SBS-12-MK	4.470191365	118.1666667	0.91002271	USA		
SBS-13-MK	3.377027334	92.875	0.780177508	USA		
SBS-14-MK	4.579693534	110.75	0.911504858	USA		
SBS-15-MK	3.4589821	60.75	0.844737803	USA		
SBS-16-MK	4.06318173	73	0.901909707	USA		
SBS-17-MK	4.804273433	114.1176471	0.939302468	USA		
SBS-18-MK	4.751959654	132.5714286	0.91912674	USA		
SBS-19-MK	4.273446102	52	0.910064193	USA		
SBS-2-MK	4.290380096	81.85714286	0.918759718	USA		
SBS-20-MK	4.946483287	172.75	0.940684381	USA		
SBS-21-MK	5.408736943	168.1111111	0.948822169	USA		
SBS-22-MK	2.515441851	47	0.674664944	USA		
SBS-23-MK	4.797366454	155.4736842	0.920237187	USA		
SBS-24-MK	4.496009373	106.875	0.926271212	USA		
SBS-25-MK	3.245983566	67.66666667	0.819375691	USA		
SBS-26-MK	4.59284381	116.1111111	0.926386228	USA		
SBS-27-MK	3.234162719	90.23076923	0.776839845	USA		
SBS-28-MK	4.499202114	100.5	0.921450133	USA		
SBS-29-MK	4.046156498	89.33333333	0.888859215	USA		
SBS-3-MK	4.439867159	124	0.910992211	USA		
SBS-30-MK	4.103166677	94.5	0.889635762	USA		
SBS-31-MK	2.745857402	66.61538462	0.731093075	USA		
SBS-32-MK	3.727327234	70.33333333	0.85629679	USA		
SBS-33-MK	3.39701871	66.6	0.849534246	USA		
SBS-34-MK	2.401254145	45	0.687370611	USA		
SBS-35-MK	1.735920101	54.25	0.410229681	USA		
SBS-36-MK	3.425608341	69.6	0.877013384	USA		
SBS-37-MK	3.362350858	101.3333333	0.746449616	USA		
SBS-38-MK	4.215824869	97.33333333	0.902044531	USA		
SBS-39-MK	3.228226514	64	0.815275492	USA		
SBS-4-MK	4.770400393	95	0.929814844	USA		
SBS-40-MK	4.717843686	119.5	0.919821317	USA		
SBS-41-MK	2.591901625	63	0.694255214	USA		
SBS-42-MK	4.960396533	109.5	0.94426713	USA		
SBS-43-MK	4.434399054	87.6	0.932452355	USA		
SBS-44-MK	3.19403259	96	0.782170061	USA		
SBS-45-MK	2.302992792	74.09090909	0.593427934	USA		
SBS-46-MK	3.888383933	91	0.869916864	USA		
SBS-47-MK	4.520586645	119	0.88538867	USA		
SBS-48-MK	4.365294361	155.7142857	0.858728681	USA		
SBS-49-MK	4.890404455	165.5	0.909276199	USA		
SBS-50-MK	3.176445548	62.09090909	0.811097255	USA		
SBS-51-MK	3.628295429	67.875	0.858633174	USA		
SBS-52-MK	4.061737358	65	0.879125259	USA		
SBS-53-MK	4.490796717	97.5	0.912879031	USA		
SBS-54-MK	3.692149626	90	0.816122014	USA		
SBS-55-MK	4.339668547	87.09090909	0.899766776	USA		
SBS-57-MK	3.688179421	116.8333333	0.754948652	USA		
SBS-58-MK	4.925868705	135.4736842	0.939234633	USA		
SBS-59-MK	3.93632229	53	0.877732298	USA		
SBS-6-MK	4.225117878	92.5	0.898639407	USA		
SBS-7-MK	4.069548318	93.14285714	0.892285243	USA		
SBS-8-MK	4.165730966	75.33333333	0.902412997	USA		
SBS-9-MK	2.582871077	83	0.621791468	USA		
