sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
EG-1-MK	188348	47432	25.18	47156	46026	24.44	44467	23.61
EG-10-MK	24898	4844	19.46	4831	4751	19.08	4751	19.08
EG-11-MK	193040	74914	38.81	74463	73034	37.83	70248	36.39
EG-12-MK	7906	2166	27.4	2140	2026	25.63	2026	25.63
EG-13-MK	149235	30236	20.26	30154	29822	19.98	29789	19.96
EG-14-MK	136787	42801	31.29	42118	38150	27.89	36183	26.45
EG-15-MK	68842	23321	33.88	23223	22785	33.1	22711	32.99
EG-16-MK	128303	41417	32.28	41200	40423	31.51	40003	31.18
EG-17-MK	126149	50591	40.1	50354	49807	39.48	49034	38.87
EG-18-MK	131358	46734	35.58	46547	45897	34.94	44364	33.77
EG-19-MK	113063	39654	35.07	39455	38176	33.77	37797	33.43
EG-2-MK	133371	44332	33.24	43999	42799	32.09	37863	28.39
EG-20-MK	128417	33471	26.06	33256	31363	24.42	31087	24.21
EG-21-MK	108816	18517	17.02	18104	16602	15.26	15693	14.42
EG-22-MK	192228	62461	32.49	61824	57532	29.93	51755	26.92
EG-23-MK	108024	33519	31.03	33166	32470	30.06	30820	28.53
EG-24-MK	124538	24319	19.53	24230	23474	18.85	23345	18.75
EG-25-MK	181304	50480	27.84	49500	46621	25.71	41248	22.75
EG-26-MK	126777	38496	30.37	38000	35211	27.77	34807	27.46
EG-27-MK	212614	68248	32.1	67059	51967	24.44	49127	23.11
EG-28-MK	214761	48516	22.59	47747	44417	20.68	40825	19.01
EG-29-MK	164579	49205	29.9	49056	46210	28.08	46123	28.02
EG-3-MK	166444	51328	30.84	50871	48396	29.08	45831	27.54
EG-30-MK	220498	60196	27.3	59307	56429	25.59	51630	23.42
EG-31-MK	54620	14963	27.39	14820	14628	26.78	14529	26.6
EG-32-MK	91172	30924	33.92	30680	29820	32.71	29217	32.05
EG-33-MK	137522	47874	34.81	47109	43082	31.33	37355	27.16
EG-34-MK	101021	18551	18.36	18355	17845	17.66	17182	17.01
EG-4-MK	131714	36896	28.01	36792	36449	27.67	36238	27.51
EG-5-MK	178292	68188	38.25	67987	67058	37.61	61935	34.74
EG-6-MK	126569	45353	35.83	45223	44812	35.41	44402	35.08
EG-7-MK	152761	51099	33.45	50663	49308	32.28	44262	28.97
EG-8-MK	210973	66942	31.73	66457	61659	29.23	61191	29
EG-9-MK	182407	61475	33.7	60699	47130	25.84	41134	22.55
SBS-1-MK	113375	36616	32.3	36520	36015	31.77	35691	31.48
SBS-10-MK	14619	3308	22.63	3292	3249	22.22	3249	22.22
SBS-11-MK	147027	39484	26.85	39398	36247	24.65	36242	24.65
SBS-12-MK	173840	64729	37.23	64560	62092	35.72	61235	35.22
SBS-13-MK	122460	31815	25.98	31748	31264	25.53	31205	25.48
SBS-14-MK	91353	28409	31.1	28340	27978	30.63	27970	30.62
SBS-15-MK	100745	26209	26.02	26131	25562	25.37	25406	25.22
SBS-16-MK	99619	34404	34.54	34211	30033	30.15	29957	30.07
SBS-17-MK	97544	32637	33.46	32216	27654	28.35	27496	28.19
SBS-18-MK	125770	36693	29.17	36149	31279	24.87	30140	23.96
SBS-19-MK	13981	4886	34.95	4835	4611	32.98	4611	32.98
SBS-2-MK	60226	16733	27.78	16693	16307	27.08	16307	27.08
SBS-20-MK	124016	42857	34.56	42525	40624	32.76	40219	32.43
SBS-21-MK	164306	42112	25.63	41894	39856	24.26	39791	24.22
SBS-22-MK	96659	28195	29.17	28091	27945	28.91	27769	28.73
SBS-23-MK	136654	43985	32.19	43900	42769	31.3	42656	31.21
SBS-24-MK	161291	51651	32.02	51488	50985	31.61	50376	31.23
SBS-25-MK	134714	42074	31.23	41972	41559	30.85	40995	30.43
SBS-26-MK	110185	30424	27.61	30202	25261	22.93	25195	22.87
SBS-27-MK	100082	21296	21.28	21230	20912	20.89	20898	20.88
SBS-28-MK	73640	13417	18.22	13337	12601	17.11	12574	17.07
SBS-29-MK	36344	11275	31.02	11248	11124	30.61	11050	30.4
SBS-3-MK	100392	31708	31.58	31624	30966	30.85	29920	29.8
SBS-30-MK	110489	31289	28.32	31192	30909	27.97	30899	27.97
SBS-31-MK	117183	33372	28.48	33285	32982	28.15	32915	28.09
SBS-32-MK	106920	28914	27.04	28725	28387	26.55	27828	26.03
SBS-33-MK	156352	54162	34.64	54036	53847	34.44	53542	34.24
SBS-34-MK	152378	52117	34.2	52061	51852	34.03	50354	33.05
SBS-35-MK	124415	50576	40.65	50491	49349	39.66	49004	39.39
SBS-36-MK	262066	97691	37.28	97439	95736	36.53	91510	34.92
SBS-37-MK	141221	42721	30.25	42648	40924	28.98	40769	28.87
SBS-38-MK	87164	18831	21.6	18717	18355	21.06	18206	20.89
SBS-39-MK	280820	79212	28.21	78580	76239	27.15	69677	24.81
SBS-4-MK	19953	7423	37.2	7383	7128	35.72	6966	34.91
SBS-40-MK	102247	39051	38.19	38916	33020	32.29	32368	31.66
SBS-41-MK	93458	27053	28.95	26957	26786	28.66	26739	28.61
SBS-42-MK	113025	36048	31.89	35863	32568	28.81	31758	28.1
SBS-43-MK	120531	42606	35.35	42338	40749	33.81	39931	33.13
SBS-44-MK	154147	42306	27.45	42104	40088	26.01	39062	25.34
SBS-45-MK	206983	86022	41.56	85615	82549	39.88	71115	34.36
SBS-46-MK	65802	23281	35.38	23176	20994	31.9	20986	31.89
SBS-47-MK	113671	33757	29.7	33508	30913	27.2	30521	26.85
SBS-48-MK	126798	45168	35.62	44755	42137	33.23	41669	32.86
SBS-49-MK	103519	26062	25.18	25957	24999	24.15	24982	24.13
SBS-5-MK	9672	2418	25	2371	2210	22.85	2210	22.85
SBS-50-MK	74729	21119	28.26	21091	20856	27.91	20687	27.68
SBS-51-MK	86908	17530	20.17	17427	16468	18.95	16413	18.89
SBS-52-MK	37317	1224	3.28	1199	1166	3.12	1166	3.12
