sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
EG-1-MK	188348	114273	60.67	113901	112968	59.98	107668	57.16
EG-10-MK	24898	15315	61.51	15303	15283	61.38	15280	61.37
EG-11-MK	193040	139734	72.39	139163	137959	71.47	130509	67.61
EG-12-MK	7906	4984	63.04	4931	4871	61.61	4808	60.81
EG-13-MK	149235	94327	63.21	94212	93957	62.96	93633	62.74
EG-14-MK	136787	91960	67.23	91269	89679	65.56	82882	60.59
EG-15-MK	68842	46542	67.61	46458	46306	67.26	46108	66.98
EG-16-MK	128303	91604	71.4	91271	90565	70.59	88658	69.1
EG-17-MK	126149	92669	73.46	92504	91989	72.92	91457	72.5
EG-18-MK	131358	96695	73.61	96455	95917	73.02	93103	70.88
EG-19-MK	113063	80376	71.09	80154	79420	70.24	78431	69.37
EG-2-MK	133371	90034	67.51	89513	88362	66.25	76427	57.3
EG-20-MK	128417	82736	64.43	82525	81771	63.68	80983	63.06
EG-21-MK	108816	56592	52.01	55971	54681	50.25	49393	45.39
EG-22-MK	192228	129282	67.25	128555	126205	65.65	110705	57.59
EG-23-MK	108024	74636	69.09	74213	73064	67.64	68379	63.3
EG-24-MK	124538	76112	61.12	75947	75602	60.71	74618	59.92
EG-25-MK	181304	113013	62.33	111961	109425	60.35	92319	50.92
EG-26-MK	126777	86876	68.53	86286	84804	66.89	82168	64.81
EG-27-MK	212614	148875	70.02	147402	143486	67.49	130425	61.34
EG-28-MK	214761	139839	65.11	138741	135731	63.2	120653	56.18
EG-29-MK	164579	106860	64.93	106725	106354	64.62	105978	64.39
EG-3-MK	166444	112613	67.66	111878	110261	66.25	102496	61.58
EG-30-MK	220498	146876	66.61	145698	141928	64.37	125391	56.87
EG-31-MK	54620	34760	63.64	34632	34326	62.85	33620	61.55
EG-32-MK	91172	63372	69.51	63148	62407	68.45	60635	66.51
EG-33-MK	137522	96095	69.88	95164	92377	67.17	78221	56.88
EG-34-MK	101021	62513	61.88	62228	61206	60.59	57476	56.9
EG-4-MK	131714	89508	67.96	89267	88773	67.4	87849	66.7
EG-5-MK	178292	130193	73.02	129897	129098	72.41	118463	66.44
EG-6-MK	126569	92084	72.75	91862	91462	72.26	90687	71.65
EG-7-MK	152761	106201	69.52	105670	104094	68.14	91889	60.15
EG-8-MK	210973	138659	65.72	138075	137256	65.06	135972	64.45
EG-9-MK	182407	132773	72.79	131986	128870	70.65	111213	60.97
SBS-1-MK	113375	78214	68.99	78091	77807	68.63	77584	68.43
SBS-10-MK	14619	9116	62.36	9072	9023	61.72	8965	61.32
SBS-11-MK	147027	96859	65.88	96617	96298	65.5	96150	65.4
SBS-12-MK	173840	125793	72.36	125575	125085	71.95	124540	71.64
SBS-13-MK	122460	82774	67.59	82666	82589	67.44	82419	67.3
SBS-14-MK	91353	62425	68.33	62340	62227	68.12	62171	68.06
